words,808s & Heartbreak,Graduation,JESUS IS KING,Late Registration,My Beautiful Dark Twisted Fantasy,The College Dropout,The Life of Pablo,Yeezus,ye
blessed,0,0,0,0,0,0,1,0,0
blessing,0,0,2,0,0,0,1,0,0
blew,0,1,0,0,0,0,0,0,0
blind,0,0,0,0,0,1,0,0,0
blindfolded,0,0,2,0,0,0,0,0,0
blink,0,0,0,0,1,1,0,0,0
block,0,1,2,1,1,0,1,1,0
blocka,0,0,0,0,0,0,0,1,0
blockablocka,0,0,0,0,0,0,0,1,0
blockd,0,0,0,0,0,0,1,0,0
blog,0,0,0,0,0,0,0,0,1
blogger,0,0,0,0,0,0,1,0,0
blonde,0,1,0,0,0,0,0,0,0
blood,1,0,0,3,2,2,0,2,1
bloodsucker,0,0,0,0,1,0,0,0,0
bloooooow,0,0,0,1,0,0,0,0,0
blouse,0,1,0,0,1,0,0,1,0
blow,0,1,0,1,2,4,0,1,0
blowin,0,0,0,0,1,0,0,0,0
blowjob,0,0,0,0,0,0,1,0,0
blown,0,0,0,1,0,0,0,0,0
blue,1,0,0,1,1,2,1,0,0
blueprint,0,1,0,0,0,2,0,0,0
blunt,0,0,0,0,1,2,0,0,1
blurry,0,0,0,0,0,0,1,0,0
board,0,0,0,0,1,0,0,0,0
boat,0,1,0,1,2,0,1,0,0
bob,0,1,0,0,0,0,0,0,0
bobby,0,0,0,0,1,0,0,1,0
bod,0,0,0,0,0,0,1,0,0
body,0,0,0,3,0,1,3,1,1
bodyguard,0,0,0,0,0,0,0,1,0
bogus,0,1,0,0,2,0,0,1,0
bold,0,0,0,0,0,0,0,0,1
bolder,0,0,0,0,1,1,0,0,0
bomb,0,0,0,1,0,1,0,0,0
bombed,0,1,0,0,0,0,0,0,0
bond,0,1,0,0,0,0,0,0,0
bondage,0,0,2,0,0,0,0,0,0
bone,0,0,0,0,1,2,1,0,0
boned,0,0,0,1,0,0,0,0,0
bonus,0,0,0,0,0,0,1,0,0
boohoo,0,0,0,0,0,0,0,0,1
book,0,0,2,2,0,2,0,0,1
booked,0,0,2,0,0,0,0,0,0
booking,0,0,0,0,0,1,0,0,0
boom,0,0,0,0,0,0,1,0,0
boomin,0,0,0,0,0,0,1,0,0
boosie,0,0,0,0,0,0,1,0,0
boost,0,0,0,0,0,1,0,0,0
booster,0,0,0,0,0,2,0,0,0
boot,0,1,0,0,1,0,0,0,0
bootin,0,0,2,0,0,0,0,0,0
bootleg,0,0,0,0,0,1,0,0,0
bootlegged,0,0,0,0,0,2,0,0,0
bootlegger,0,0,0,0,1,0,0,0,0
booty,0,0,0,0,2,0,2,0,0
booze,0,1,0,0,0,0,0,0,0
boppers,0,0,0,1,0,0,0,0,0
border,0,0,0,0,1,0,0,0,0
bored,0,0,0,0,1,0,0,0,0
boring,0,0,0,0,1,0,0,0,0
born,1,0,0,0,1,1,0,0,1
borrow,0,0,0,0,0,0,1,0,0
borrowing,0,0,0,0,0,1,0,0,0
bos,0,2,0,0,0,2,2,1,1
bosko,0,0,0,0,0,1,0,0,0
boss,0,0,0,0,0,1,0,0,0
bother,0,0,0,0,0,0,1,0,0
bothered,0,0,0,0,0,0,1,0,0
bottle,0,2,0,1,0,0,1,0,1
bottleshaped,0,0,0,1,0,0,0,0,0
bottom,0,1,0,0,0,1,1,0,1
boucher,0,0,0,0,0,0,0,1,0
bought,0,1,0,0,2,3,1,0,0
bougie,0,0,0,1,0,2,1,0,0
bounce,0,1,0,0,0,1,0,0,0
bouncin,0,0,0,0,0,0,0,1,0
bound,0,0,0,0,0,0,0,1,0
bourelly,0,0,0,0,0,0,1,0,0
bout,3,6,2,3,3,6,6,4,3
bow,0,2,4,0,0,1,0,0,0
bowl,0,0,0,2,0,0,0,0,0
box,0,0,0,2,0,0,0,0,0
